dataset_type,n,algorithm,avg_time_us,avg_char_comparisons,runs,sorted_ok
reverse_sorted,2900,msd_radix_quick_sort,128.664,31541.000,5,1
reverse_sorted,3000,standard_quicksort,328.770,46071.000,5,1
reverse_sorted,3000,standard_mergesort,240.841,25782.000,5,1
reverse_sorted,3000,string_quicksort,240.561,74946.000,5,1
reverse_sorted,3000,string_mergesort_lcp,594.846,67347.000,5,1
reverse_sorted,3000,msd_radix_sort,232.747,7279.000,5,1
reverse_sorted,3000,msd_radix_quick_sort,128.332,32652.000,5,1
almost_sorted,100,standard_quicksort,8.245,903.000,5,1
almost_sorted,100,standard_mergesort,5.892,850.000,5,1
almost_sorted,100,string_quicksort,4.062,1560.000,5,1
almost_sorted,100,string_mergesort_lcp,15.364,2164.000,5,1
almost_sorted,100,msd_radix_sort,7.429,231.000,5,1
almost_sorted,100,msd_radix_quick_sort,3.740,957.000,5,1
almost_sorted,200,standard_quicksort,16.505,2039.000,5,1
almost_sorted,200,standard_mergesort,13.462,1854.000,5,1
almost_sorted,200,string_quicksort,9.680,3462.000,5,1
almost_sorted,200,string_mergesort_lcp,35.540,4835.000,5,1
almost_sorted,200,msd_radix_sort,15.387,455.000,5,1
almost_sorted,200,msd_radix_quick_sort,8.503,1869.000,5,1
almost_sorted,300,standard_quicksort,29.919,3743.000,5,1
almost_sorted,300,standard_mergesort,22.381,3002.000,5,1
almost_sorted,300,string_quicksort,17.220,6272.000,5,1
almost_sorted,300,string_mergesort_lcp,59.111,7841.000,5,1
almost_sorted,300,msd_radix_sort,21.802,687.000,5,1
almost_sorted,300,msd_radix_quick_sort,11.843,2869.000,5,1
almost_sorted,400,standard_quicksort,42.904,6049.000,5,1
almost_sorted,400,standard_mergesort,28.741,4148.000,5,1
almost_sorted,400,string_quicksort,22.416,7995.000,5,1
almost_sorted,400,string_mergesort_lcp,84.698,10970.000,5,1
almost_sorted,400,msd_radix_sort,26.505,910.000,5,1
almost_sorted,400,msd_radix_quick_sort,15.109,3894.000,5,1
almost_sorted,500,standard_quicksort,52.702,6404.000,5,1
almost_sorted,500,standard_mergesort,34.839,5232.000,5,1
almost_sorted,500,string_quicksort,28.449,10006.000,5,1
almost_sorted,500,string_mergesort_lcp,102.470,13863.000,5,1
almost_sorted,500,msd_radix_sort,33.720,1144.000,5,1
almost_sorted,500,msd_radix_quick_sort,20.283,4883.000,5,1
almost_sorted,600,standard_quicksort,75.079,8561.000,5,1
almost_sorted,600,standard_mergesort,64.094,6748.000,5,1
almost_sorted,600,string_quicksort,59.674,12272.000,5,1
almost_sorted,600,string_mergesort_lcp,139.513,17846.000,5,1
almost_sorted,600,msd_radix_sort,42.049,1393.000,5,1
almost_sorted,600,msd_radix_quick_sort,26.916,5999.000,5,1
almost_sorted,700,standard_quicksort,101.153,10766.000,5,1
almost_sorted,700,standard_mergesort,58.059,7972.000,5,1
almost_sorted,700,string_quicksort,67.277,14434.000,5,1
almost_sorted,700,string_mergesort_lcp,172.076,21135.000,5,1
almost_sorted,700,msd_radix_sort,94.211,1627.000,5,1
almost_sorted,700,msd_radix_quick_sort,28.319,7108.000,5,1
almost_sorted,800,standard_quicksort,93.701,12968.000,5,1
almost_sorted,800,standard_mergesort,59.474,9228.000,5,1
almost_sorted,800,string_quicksort,47.705,17450.000,5,1
almost_sorted,800,string_mergesort_lcp,182.474,24472.000,5,1
almost_sorted,800,msd_radix_sort,56.447,1872.000,5,1
almost_sorted,800,msd_radix_quick_sort,43.987,8198.000,5,1
almost_sorted,900,standard_quicksort,114.041,14965.000,5,1
almost_sorted,900,standard_mergesort,77.188,10348.000,5,1
almost_sorted,900,string_quicksort,71.249,19707.000,5,1
almost_sorted,900,string_mergesort_lcp,227.245,27501.000,5,1
almost_sorted,900,msd_radix_sort,76.615,2125.000,5,1
almost_sorted,900,msd_radix_quick_sort,49.446,9314.000,5,1
almost_sorted,1000,standard_quicksort,154.179,16857.000,5,1
almost_sorted,1000,standard_mergesort,103.267,11576.000,5,1
almost_sorted,1000,string_quicksort,83.156,21957.000,5,1
almost_sorted,1000,string_mergesort_lcp,307.471,30903.000,5,1
almost_sorted,1000,msd_radix_sort,94.755,2369.000,5,1
almost_sorted,1000,msd_radix_quick_sort,56.524,10390.000,5,1
almost_sorted,1100,standard_quicksort,176.252,18267.000,5,1
almost_sorted,1100,standard_mergesort,126.664,13104.000,5,1
almost_sorted,1100,string_quicksort,128.673,24551.000,5,1
almost_sorted,1100,string_mergesort_lcp,324.141,34827.000,5,1
almost_sorted,1100,msd_radix_sort,96.092,2613.000,5,1
almost_sorted,1100,msd_radix_quick_sort,57.048,11554.000,5,1
almost_sorted,1200,standard_quicksort,172.337,20716.000,5,1
almost_sorted,1200,standard_mergesort,120.337,14757.000,5,1
almost_sorted,1200,string_quicksort,95.778,27657.000,5,1
almost_sorted,1200,string_mergesort_lcp,368.555,39332.000,5,1
almost_sorted,1200,msd_radix_sort,111.485,2854.000,5,1
almost_sorted,1200,msd_radix_quick_sort,67.570,12681.000,5,1
almost_sorted,1300,standard_quicksort,209.276,23705.000,5,1
almost_sorted,1300,standard_mergesort,134.971,16138.000,5,1
almost_sorted,1300,string_quicksort,106.954,31261.000,5,1
almost_sorted,1300,string_mergesort_lcp,425.042,43097.000,5,1
almost_sorted,1300,msd_radix_sort,163.329,3089.000,5,1
almost_sorted,1300,msd_radix_quick_sort,76.996,13762.000,5,1
almost_sorted,1400,standard_quicksort,215.044,24017.000,5,1
almost_sorted,1400,standard_mergesort,196.059,17579.000,5,1
almost_sorted,1400,string_quicksort,112.697,32447.000,5,1
almost_sorted,1400,string_mergesort_lcp,400.539,46978.000,5,1
almost_sorted,1400,msd_radix_sort,114.729,3323.000,5,1
almost_sorted,1400,msd_radix_quick_sort,67.437,14757.000,5,1
almost_sorted,1500,standard_quicksort,202.757,25392.000,5,1
almost_sorted,1500,standard_mergesort,137.174,18937.000,5,1
almost_sorted,1500,string_quicksort,107.442,36205.000,5,1
almost_sorted,1500,string_mergesort_lcp,396.092,50439.000,5,1
almost_sorted,1500,msd_radix_sort,116.684,3577.000,5,1
almost_sorted,1500,msd_radix_quick_sort,79.573,15915.000,5,1
almost_sorted,1600,standard_quicksort,189.227,25229.000,5,1
almost_sorted,1600,standard_mergesort,140.506,20317.000,5,1
almost_sorted,1600,string_quicksort,111.890,39876.000,5,1
almost_sorted,1600,string_mergesort_lcp,518.213,54249.000,5,1
almost_sorted,1600,msd_radix_sort,125.682,3830.000,5,1
almost_sorted,1600,msd_radix_quick_sort,73.363,16990.000,5,1
